index,review_index,study_id,study_name
380,111,STD-Lewycka-2013,Lewycka 2013
381,111,STD-MacArthur-2009,MacArthur 2009
382,112,STD-Kronborg-2017,Kronborg 2017
383,112,STD-Langford-2015,Langford 2015
384,112,STD-Latham-2014,Latham 2014
385,112,STD-Mangione-2005,Mangione 2005
386,112,STD-Mangione-2010,Mangione 2010
387,112,STD-Orwig-2011,Orwig 2011
388,112,STD-Pol-2019,Pol 2019
389,112,STD-Resnick-2007,Resnick 2007
390,112,STD-Salpakoski-2015,Salpakoski 2015
391,112,STD-Sherrington-2020,Sherrington 2020
392,112,STD-Stasi-2019,Stasi 2019
393,112,STD-Taraldsen-2019,Taraldsen 2019
394,112,STD-Van-Ooijen-2016,Van Ooijen 2016
395,112,STD-Williams-2016,Williams 2016
396,113,STD-Masud--2006,Masud  2006
397,114,STD-Chan-2006a,Chan 2006a
398,114,STD-Walker-2015,Walker 2015
399,114,STD-Wang-2015,Wang 2015
400,114,STD-Wilson-2011,Wilson 2011
401,115,STD-Kim-2012,Kim 2012
402,116,STD-Heidarifar-2014,Heidarifar 2014
403,116,STD-Salmalian-2014,Salmalian 2014
404,117,STD-Al_x002d_Azzawi-2014,Al_x002d_Azzawi 2014
405,117,STD-Albo-2007,Albo 2007
406,118,STD-Richter-2010,Richter 2010
407,119,STD-Cockayne-2011,Cockayne 2011
408,120,STD-Byrkjeland-2015,Byrkjeland 2015
409,120,STD-Campo-2020,Campo 2020
410,120,STD-Chaves-2019,Chaves 2019
411,120,STD-Hassan-2016,Hassan 2016
412,120,STD-Maddison-2014,Maddison 2014
413,120,STD-Sun-2016,Sun 2016
414,120,STD-Wang-2012,Wang 2012
415,120,STD-Zhang-2018,Zhang 2018
416,121,STD-Jensen-2011,Jensen 2011
417,121,STD-Lambeek-2010,Lambeek 2010
418,122,STD-Armstrong-2013,Armstrong 2013
419,122,STD-Mallery-2014,Mallery 2014
420,122,STD-Tsao-2009,Tsao 2009
421,123,STD-Chen-2012,Chen 2012
422,123,STD-Liu-2012,Liu 2012
423,123,STD-Liu-2014a,Liu 2014a
424,124,STD-Bhattacharya-2008,Bhattacharya 2008
425,125,STD-Barraclough-1973,Barraclough 1973
426,125,STD-EWPHE-1985,EWPHE 1985
427,125,STD-MRC_x002d_O-1992,MRC_x002d_O 1992
428,125,STD-MRC_x002d_TMH-1985,MRC_x002d_TMH 1985
429,126,STD-Goode-2009,Goode 2009
430,126,STD-Park-2012,Park 2012
431,127,STD-PRET-Niger,PRET Niger
432,127,STD-PRET-Tanzania,PRET Tanzania
433,127,STD-PRET-The-Gambia,PRET The Gambia
434,127,STD-TANA,TANA
435,127,STD-Wilson-2018,Wilson 2018
436,128,STD-Bloom-2006,Bloom 2006
437,128,STD-Nagle-2008,Nagle 2008
438,128,STD-Smith-2010,Smith 2010
439,129,STD-Brown-2009,Brown 2009
440,129,STD-O_x0027_Malley-2008,O_x0027_Malley 2008
441,129,STD-Oslin-2008,Oslin 2008
442,130,STD-Alkon-2014,Alkon 2014
443,130,STD-Andrade-2014,Andrade 2014
444,130,STD-Brown-2013,Brown 2013
445,130,STD-Campbell-2013,Campbell 2013
446,130,STD-Chen-2010,Chen 2010
447,130,STD-Chen-2011,Chen 2011
448,130,STD-Coleman-2012,Coleman 2012
449,130,STD-Crespo-2012,Crespo 2012
450,130,STD-De-Bock-2012,De Bock 2012
451,130,STD-Fairclough-2013,Fairclough 2013
452,130,STD-Gentile-2009,Gentile 2009
453,130,STD-Grydeland-2014,Grydeland 2014
454,130,STD-Howe-2011,Howe 2011
455,130,STD-Jansen-2011,Jansen 2011
456,130,STD-Khan-2014,Khan 2014
457,130,STD-Kipping-2014,Kipping 2014
458,130,STD-Kriemler-2010,Kriemler 2010
459,130,STD-Levy-2012,Levy 2012
460,130,STD-Martinez_x002d_Vizcaino-2014,Martinez_x002d_Vizcaino 2014
461,130,STD-Mauriello-2010,Mauriello 2010
462,130,STD-Melnyk-2013,Melnyk 2013
463,130,STD-Meng-2013,Meng 2013
464,130,STD-Nemet-2011,Nemet 2011
465,130,STD-Puder-2011,Puder 2011
466,130,STD-Robinson-2010,Robinson 2010
467,130,STD-Rosario-2012,Rosario 2012
468,130,STD-Rosenkranz-2010,Rosenkranz 2010
469,130,STD-Wang-2012,Wang 2012
470,130,STD-Williamson-2012,Williamson 2012
471,130,STD-Zask-2012,Zask 2012
472,131,STD-UK-age-trial-1991,UK age trial 1991
473,132,STD-Flodin-2014,Flodin 2014
474,132,STD-Papaioannou-2011,Papaioannou 2011
475,132,STD-Prasad-2009,Prasad 2009
476,132,STD-Van-Stijn-2015,Van Stijn 2015
477,132,STD-Wyers-2013,Wyers 2013
478,133,STD-Lee-2010,Lee 2010
479,133,STD-Shao-2015,Shao 2015
480,134,STD-Barzoi-2000,Barzoi 2000
481,134,STD-Wang-2010,Wang 2010
482,135,STD-Eames-2013,Eames 2013
483,135,STD-Kamal-2016,Kamal 2016
484,135,STD-Kim-2013,Kim 2013
485,136,STD-Chen-2010,Chen 2010
486,136,STD-Dean-2006,Dean 2006
